사업코드,사업구분,사업명,X좌표,Y좌표
ND2008A009,도시의 개발,마산해양신도시 건설사업,1097517.959,1687721.179
ME2009A043,도시의 개발,남양주 다산진건 공공주택지구 조성사업(구.남양주진건 보금자리주택지구 조성사업),969445.2338,1958208.132
ME2009A041,도시의 개발,시흥은계 보금자리주택지구 조성사업,938266.7009,1938226.261
ME2010A006,도시의 개발,광명 시흥 보금자리주택지구 조성사업,942078.3637,1937301.031
HG2008A001,도시의 개발,고덕국제화계획지구 택지개발사업,958519.6664,1894322.149
ME2008A078,도시의 개발,화성동탄(2)택지개발사업,965447.066,1909836.267
JJ2010A001,도시의 개발,군산 미장지구 도시개발사업,930567.1176,1774361.187
HG2007A016,도시의 개발,안성 아양지구(안성뉴타운) 택지개발사업,978220.5704,1889811.779
ME2009A044,도시의 개발,남양주 다산지금 공공주택지구(구.남양주 지금 보금자리주택지구 조성사업),970886.4318,1956445.865
ND2009A002,도시의 개발,부산 장안지구 택지개발사업,1157833.676,1704491.132
ND2012A003,도시의 개발,농소공공하수처리시설 민간투자사업,1167068.701,1736731.281
ME2011A004,도시의 개발,과천지식정보타운 보금자리주택지구 조성사업,954248.4082,1934931.132
ME2008A081,도시의 개발,파주운정3지구 택지개발사업,931961.0364,1969920.766
ND2007A007,도시의 개발,김해 율하2지구 택지개발사업,1120838.239,1686641.813
JJ2013A001,도시의 개발,전주 00부대이전부지 도시개발사업,966505.6133,1764425.038
ME2009A007,도시의 개발,화성 비봉지구 공공주택지구 조성사업,944151.4276,1916643.681
ND2014A002,도시의 개발,울산과학기술대학교 건설사업(재협의),1153066.493,1731937.278
ND2014A006,도시의 개발,내곡지구 도시개발사업,1097897.301,1705705.896
ME2014A002,도시의 개발,하남미사 공공주택지구 조성사업,970872.4128,1947641.173
DG2014A001,도시의 개발,보문천군지구 도시개발사업,1161347.115,1758777.689
ME2015A013,도시의 개발,화성동탄(2)지구 택지개발사업(재협의),965156.8108,1910000.175
HG2007B002,산업입지 및 산업단지,파주월롱 첨단일반산업단지,936578.9067,1981939.95
DG2007B002,산업입지 및 산업단지,대구테크노폴리스 지방산업단지 조성사업,1086977.734,1743974.728
GG2007B004,산업입지 및 산업단지,합덕일반지방산업단지조성사업,932681.7021,1868818.276
ND2008B030,산업입지 및 산업단지,안정국가산업단지 개발사업(재협의),1084826.036,1663788.08
YS2007B001,산업입지 및 산업단지,광양항 서측배후단지 조성공사,1013356.393,1656464.693
ND2007B011,산업입지 및 산업단지,"고성 조선산업단지 조성사업(양촌,용정지구)",1089793.081,1671280.173
ND2007B003,산업입지 및 산업단지,울산.미포국가산업단지(효문공단) 공장용지 조성사업,1169351.011,1732071.791
JJ2008B002,산업입지 및 산업단지,전주친환경첨단복합단지 조성,962742.2487,1762544.149
GG2008B005,산업입지 및 산업단지,오창제2산업단지 조성사업,995360.189,1859435.973
GG2008B009,산업입지 및 산업단지,천안제3산업단지 조성사업(재협의),964925.7953,1871756.782
YS2008B004,산업입지 및 산업단지,광주진곡 일반산업단지 조성사업,935055.4798,1689977.586
HG2007B005,산업입지 및 산업단지,검단일반지방산업단지,921518.9577,1955112.959
ND2008B014,산업입지 및 산업단지,안의제2농공단지 조성사업,1029784.275,1736606.635
ME2008B004,산업입지 및 산업단지,이화일반산업단지 조성사업,1167450.409,1743125.072
GG2007B002,산업입지 및 산업단지,석문국가산업단지 개발사업,918701.7509,1890213.392
JJ2008B007,산업입지 및 산업단지,김제 지평선 일반산업단지 조성사업 (분할이 잘못됨 전체 PDF 봐야함),943666.5373,1761332.066
